index,nl_intent,nl_intent_normalized,intent_type,action,expectation_type,endpoint,lifecycle_status,resource_id,resource_name,resource_version,priority,context,is_bundle,service_type,quality_level,latency,throughput,availability,max_participants,reporting_interval
578,Set up a new intent for deploy network slice with 99.999% availability,set up a new intent for deploy network slice with 99.999% availability,IntentSpecification,POST,,/intentspecification,Active,98655,NetworkSliceProvision002,2.1,5,intent-based networks,False,VideoStreaming,Standard,10 ms,100 Mbps,99.99%,1000,10
579,Set new property value for SmartGridSetupC,set new property value for smartgridsetupc,IntentSpecification,PATCH,,/intentspecification,Active,95729,SmartGridSetupC,5.2,4,IoT networks,False,BroadbandService,Standard,100 ms,100 Mbps,99.99%,100,30
580,Get intent state report,get intent state report,Intent,GET (IntentReport),PropertyExpectation,/intent,Active,76596,GamingIntent002,3.7,3,Autonomous services,True,NetworkSlice,Premium,20 ms,1 Gbps,99.999%,5000,30
581,Display intent 72746 details,display intent 72746 details,IntentSpecification,GET,,/intentspecification,Created,72746,EventLiveIntentB,1.1,4,Autonomous services,False,BroadbandService,Premium,10 ms,100 Mbps,99.99%,1000,60
582,Generate performance report for intent 44032,generate performance report for intent 44032,IntentReport,GET (IntentReport),,/intentreport,Created,44032,CloudServiceProvisionA,1.8,2,Edge computing,True,CloudService,Basic,50 ms,10 Gbps,99.9%,500,60
583,Look up intent 84213,look up intent 84213,Intent,GET,DeliveryExpectation,/intent,Active,84213,FactoryAutoSetupv1,5.6,2,Smart city,False,CloudService,1080pHD,10 ms,500 Mbps,99.95%,1000,30
584,Fetch the intent 94700,fetch the intent 94700,IntentReport,GET,,/intentreport,Created,94700,AutonomousIntentA,2.0,3,Autonomous services,False,EventWirelessAccess,Standard,100 ms,10 Gbps,99.95%,200,5
585,What is the status of intent 26818?,what is the status of intent 26818?,IntentSpecification,GET,,/intentspecification,Created,26818,ConnectedCarSetupv1,4.1,3,intent-based networks,True,NetworkSlice,480p,20 ms,100 Mbps,99.9%,50,60
586,Remove intent BroadbandDeploymentA,remove intent broadbanddeploymenta,IntentSpecification,DELETE,,/intentspecification,Created,64996,BroadbandDeploymentA,5.1,5,Autonomous services,False,IoTService,Premium,12 ms,100 Mbps,99.95%,5000,15
587,Submit intent for provide mission critical communications for emergency services,submit intent for provide mission critical communications for emergency services,IntentSpecification,POST,,/intentspecification,Created,33448,SmartGridIntent001,4.2,1,IoT networks,True,IoTService,Standard,10 ms,1 Gbps,99.99%,50,15
588,Evaluate enable remote surgery capabilities with 1ms latency parameters,evaluate enable remote surgery capabilities with 1ms latency parameters,ProbeIntent,POST (ProbeIntent),DeliveryExpectation,/intent,Created,71337,EdgeComputeSetup001,2.8,3,IoT networks,True,VoiceService,4KUHD,10 ms,10 Gbps,99.95%,200,30
589,Drop intent 75750,drop intent 75750,Intent,DELETE,DeliveryExpectation,/intent,Active,75750,MissionCriticalServiceC,4.0,3,5G networks,True,StreamingApplication,480p,10 ms,10 Gbps,99.9%,50,60
590,Display intent 56099 details,display intent 56099 details,Intent,GET,DeliveryExpectation,/intent,Active,56099,IoTConnectServiceC,4.1,3,5G networks,True,IoTService,720p,100 ms,10 Gbps,99.95%,1000,5
591,Place an intent for deploy private 5G network for industrial automation,place an intent for deploy private 5g network for industrial automation,Intent,POST,ReportingExpectation,/intent,Active,98554,EventLiveIntent002,4.8,3,IoT networks,True,BroadbandService,1080pHD,50 ms,10 Gbps,99.99%,50,5
592,Show all reporting events for ConnectedCarSetup001,show all reporting events for connectedcarsetup001,Intent,GET (IntentReport),ReportingExpectation,/intent,Active,37124,ConnectedCarSetup001,4.6,2,Video streaming,False,EventWirelessAccess,1080pHD,12 ms,100 Mbps,99.95%,1000,5
593,List all intents in the system,list all intents in the system,IntentSpecification,GET,,/intentspecification,Created,95533,ConnectedCarIntentB,1.5,1,Edge computing,True,IoTService,720p,12 ms,1 Gbps,99.99%,50,15
594,Withdraw intent 39482,withdraw intent 39482,Intent,DELETE,DeliveryExpectation,/intent,Created,39482,AutonomousServiceA,2.2,4,Autonomous services,False,IoTService,480p,5 ms,10 Gbps,99.95%,5000,10
595,What would happen if we provide video streaming service for the event venue?,what would happen if we provide video streaming service for the event venue?,ProbeIntent,POST (ProbeIntent),DeliveryExpectation,/intent,Created,39029,IoTConnectIntentv1,1.1,2,Autonomous services,True,NetworkSlice,Standard,100 ms,500 Mbps,99.9%,200,10
596,Generate monitoring report for enable remote surgery capabilities with 1ms latency,generate monitoring report for enable remote surgery capabilities with 1ms latency,Intent,GET (IntentReport),PropertyExpectation,/intent,Created,77443,CloudServiceDeploymentC,4.3,3,Broadband services,False,CloudService,Standard,12 ms,100 Mbps,99.999%,50,15
597,Replace values in intent 24826,replace values in intent 24826,IntentSpecification,PATCH,,/intentspecification,Active,24826,IoTConnectProvision002,1.3,1,IoT networks,False,VideoStreaming,1080pHD,50 ms,1 Gbps,99.99%,1000,5
598,Generate intent assessment report,generate intent assessment report,ProbeIntent,GET (IntentReport),PropertyExpectation,/intent,Active,43940,CloudServiceDeploymentv2,5.0,4,Edge computing,False,EventWirelessAccess,Basic,100 ms,1 Gbps,99.9%,200,15
599,Fetch the intent 43210,fetch the intent 43210,ProbeIntent,GET,DeliveryExpectation,/intent,Active,43210,VideoStreamDeploymentA,4.9,1,Smart city,True,VoiceService,1080pHD,20 ms,100 Mbps,99.99%,50,60
600,Get all intents with priority 5,get all intents with priority 5,ProbeIntent,GET,PropertyExpectation,/intent,Active,50753,SmartGridSetup002,4.6,5,Video streaming,False,VoiceService,720p,20 ms,10 Gbps,99.999%,500,30
601,Get all intents with priority 5,get all intents with priority 5,ProbeIntent,GET,DeliveryExpectation,/intent,Created,56699,EventLiveIntent001,5.5,5,intent-based networks,True,VoiceService,720p,10 ms,10 Gbps,99.9%,5000,15
602,Revise VideoStreamServiceC requirements,revise videostreamservicec requirements,Intent,PATCH,ReportingExpectation,/intent,Created,69827,VideoStreamServiceC,2.9,5,Smart city,False,CloudService,4KUHD,5 ms,500 Mbps,99.999%,1000,30
603,Find intents related to NetworkSlice,find intents related to networkslice,IntentReport,GET,,/intentreport,Active,21898,AutonomousSetup002,2.1,5,Smart city,True,NetworkSlice,480p,12 ms,1 Gbps,99.99%,500,5
604,Report on intent 98404,report on intent 98404,ProbeIntent,GET,PropertyExpectation,/intent,Created,98404,VideoStreamIntentB,3.4,4,Edge computing,True,NetworkSlice,720p,12 ms,1 Gbps,99.999%,50,60
605,Delete expired intents,delete expired intents,Intent,DELETE,PropertyExpectation,/intent,Created,39844,VideoStreamSetupA,5.8,3,Edge computing,False,NetworkSlice,Basic,100 ms,500 Mbps,99.9%,100,30
606,Clean up intent NetworkSliceIntentv2,clean up intent networksliceintentv2,Intent,DELETE,PropertyExpectation,/intent,Created,52831,NetworkSliceIntentv2,3.7,5,Broadband services,False,VideoStreaming,Standard,50 ms,100 Mbps,99.99%,100,30
607,Show intent validation results,show intent validation results,Intent,GET (IntentReport),ReportingExpectation,/intent,Created,22933,BroadbandDeploymentv1,5.7,2,Smart city,True,IoTService,Premium,10 ms,1 Gbps,99.99%,500,15
608,Get the current status of FactoryAutoIntentv2,get the current status of factoryautointentv2,Intent,GET,DeliveryExpectation,/intent,Created,36622,FactoryAutoIntentv2,3.2,3,IoT networks,False,CloudService,4KUHD,100 ms,1 Gbps,99.9%,50,30
609,Create intent to provision deploy private 5G network for industrial automation,create intent to provision deploy private 5g network for industrial automation,Intent,POST,ReportingExpectation,/intent,Active,26019,IoTConnectIntentB,3.9,5,Video streaming,False,CloudService,1080pHD,50 ms,500 Mbps,99.999%,500,10
610,Submit intent for provide immersive gaming services with minimal latency,submit intent for provide immersive gaming services with minimal latency,IntentSpecification,POST,,/intentspecification,Created,57567,IoTConnectSetupA,4.9,5,Broadband services,True,IoTService,4KUHD,20 ms,500 Mbps,99.999%,100,5
611,Fetch the intent 98311,fetch the intent 98311,Intent,GET,ReportingExpectation,/intent,Created,98311,EventLiveServicev1,1.5,5,IoT networks,True,VideoStreaming,720p,12 ms,500 Mbps,99.95%,500,60
612,Find intent named GamingSetupB,find intent named gamingsetupb,ProbeIntent,GET,ReportingExpectation,/intent,Active,77965,GamingSetupB,2.1,4,Edge computing,True,EdgeComputing,720p,100 ms,10 Gbps,99.9%,50,60
613,Deploy intent for provide video streaming service for the event venue,deploy intent for provide video streaming service for the event venue,Intent,POST,ReportingExpectation,/intent,Created,93385,SmartGridProvisionC,1.6,2,Edge computing,True,BroadbandService,Premium,50 ms,10 Gbps,99.99%,50,15
614,Show all active intents,show all active intents,Intent,GET,ReportingExpectation,/intent,Created,35765,AutonomousProvision002,1.1,2,Broadband services,False,BroadbandService,Basic,12 ms,1 Gbps,99.999%,200,30
615,List all intents in the system,list all intents in the system,IntentReport,GET,,/intentreport,Created,29971,FactoryAutoService002,1.6,4,intent-based networks,False,NetworkSlice,4KUHD,20 ms,10 Gbps,99.999%,5000,60
616,Set up a new intent for deliver 4K ultra HD video streaming to 200 participants in the stadium,set up a new intent for deliver 4k ultra hd video streaming to 200 participants in the stadium,Intent,POST,DeliveryExpectation,/intent,Created,77424,SmartGridProvision001,1.2,2,IoT networks,False,DataAnalytics,Basic,20 ms,1 Gbps,99.99%,50,15
617,Display intent 60974 details,display intent 60974 details,IntentReport,GET,,/intentreport,Active,60974,SmartCityServiceA,4.0,4,Edge computing,True,VoiceService,1080pHD,10 ms,1 Gbps,99.9%,5000,15
618,Generate report for intent 24819,generate report for intent 24819,IntentReport,GET (IntentReport),,/intentreport,Created,24819,NetworkSliceIntentv1,4.5,2,Autonomous services,False,VideoStreaming,4KUHD,20 ms,1 Gbps,99.95%,200,15
619,Destroy intent 28236,destroy intent 28236,IntentSpecification,DELETE,,/intentspecification,Created,28236,EventLiveSetupA,4.0,5,Edge computing,True,VideoStreaming,480p,100 ms,100 Mbps,99.99%,200,15
620,Add a new intent for provide low latency connectivity for factory automation with 5ms latency,add a new intent for provide low latency connectivity for factory automation with 5ms latency,Intent,POST,DeliveryExpectation,/intent,Active,50715,FactoryAutoServicev2,3.4,2,Smart city,True,NetworkSlice,4KUHD,50 ms,10 Gbps,99.999%,1000,10
621,Get intent report for enable high bandwidth connectivity for the convention center,get intent report for enable high bandwidth connectivity for the convention center,ProbeIntent,GET (IntentReport),PropertyExpectation,/intent,Active,59043,ConnectedCarProvision001,3.6,1,Broadband services,True,DataAnalytics,480p,5 ms,10 Gbps,99.999%,5000,10
622,Eliminate intent SmartCityIntentA,eliminate intent smartcityintenta,IntentSpecification,DELETE,,/intentspecification,Active,30414,SmartCityIntentA,1.9,2,Autonomous services,True,VideoStreaming,1080pHD,5 ms,500 Mbps,99.999%,200,5
623,Delete intent 29443,delete intent 29443,Intent,DELETE,DeliveryExpectation,/intent,Created,29443,IoTConnectServiceB,1.4,2,Broadband services,True,StreamingApplication,1080pHD,5 ms,1 Gbps,99.9%,50,5
624,Show intent validation results,show intent validation results,ProbeIntent,GET (IntentReport),ReportingExpectation,/intent,Active,76343,FactoryAutoProvisionv2,4.6,4,IoT networks,True,DataAnalytics,480p,12 ms,500 Mbps,99.9%,500,5
625,What is the current state compliance?,what is the current state compliance?,Intent,GET (IntentReport),ReportingExpectation,/intent,Created,68492,NetworkSliceService002,1.9,2,Autonomous services,False,CloudService,480p,12 ms,100 Mbps,99.99%,5000,5
626,Find intent named FactoryAutoProvisionA,find intent named factoryautoprovisiona,Intent,GET,PropertyExpectation,/intent,Created,76557,FactoryAutoProvisionA,2.1,4,Edge computing,False,VoiceService,4KUHD,10 ms,10 Gbps,99.99%,200,30
627,Modify the expression of intent SmartGridDeploymentC,modify the expression of intent smartgriddeploymentc,IntentSpecification,PATCH,,/intentspecification,Created,91615,SmartGridDeploymentC,3.7,5,IoT networks,False,VideoStreaming,Basic,12 ms,10 Gbps,99.95%,1000,5
628,Update the deadline for intent 45805 to 2026-05-01,update the deadline for intent 45805 to 2026-05-01,Intent,PATCH,PropertyExpectation,/intent,Created,45805,BroadbandDeploymentA,3.8,4,Broadband services,True,StreamingApplication,720p,50 ms,10 Gbps,99.9%,50,60
629,What are the reporting metrics?,what are the reporting metrics?,Intent,GET (IntentReport),PropertyExpectation,/intent,Active,59302,BroadbandIntentB,4.5,4,intent-based networks,False,VoiceService,720p,100 ms,1 Gbps,99.95%,500,30
630,Test if we can enable connected car services with ultra reliable low latency,test if we can enable connected car services with ultra reliable low latency,ProbeIntent,POST (ProbeIntent),ReportingExpectation,/intent,Created,69280,NetworkSliceService002,4.4,5,IoT networks,True,StreamingApplication,1080pHD,5 ms,100 Mbps,99.95%,5000,30
631,Test medium bandwidth 1Gbps capability,test medium bandwidth 1gbps capability,ProbeIntent,POST (ProbeIntent),DeliveryExpectation,/intent,Created,77932,BroadbandServiceA,3.6,2,Cloud services,True,BroadbandService,Standard,20 ms,1 Gbps,99.999%,5000,10
632,Create an intent to provide low latency connectivity for factory automation with 5ms latency,create an intent to provide low latency connectivity for factory automation with 5ms latency,IntentSpecification,POST,,/intentspecification,Active,36847,EdgeComputeIntent001,1.8,4,Broadband services,False,NetworkSlice,4KUHD,5 ms,100 Mbps,99.9%,1000,60
633,Get details of intent 75399,get details of intent 75399,IntentSpecification,GET,,/intentspecification,Active,75399,VideoStreamServiceA,5.1,2,Edge computing,True,BroadbandService,Standard,5 ms,1 Gbps,99.95%,5000,15
634,Refresh intent 20090 settings,refresh intent 20090 settings,IntentSpecification,PATCH,,/intentspecification,Created,20090,SmartGridDeploymentC,1.6,3,Video streaming,True,BroadbandService,4KUHD,12 ms,500 Mbps,99.95%,100,10
635,Edit intent 26928 specifications,edit intent 26928 specifications,IntentSpecification,PATCH,,/intentspecification,Active,26928,CloudServiceProvisionv1,1.1,4,intent-based networks,True,VideoStreaming,Standard,20 ms,10 Gbps,99.95%,200,15
636,Unregister intent MissionCriticalServiceA,unregister intent missioncriticalservicea,IntentSpecification,DELETE,,/intentspecification,Active,24728,MissionCriticalServiceA,2.9,4,intent-based networks,False,EdgeComputing,480p,50 ms,500 Mbps,99.95%,5000,5
637,Generate performance report for intent 69873,generate performance report for intent 69873,Intent,GET (IntentReport),ReportingExpectation,/intent,Active,69873,TelehealthIntent001,2.1,5,Autonomous services,False,VoiceService,1080pHD,100 ms,100 Mbps,99.999%,500,15
638,Set up provide smart city connectivity for urban infrastructure with priority 4,set up provide smart city connectivity for urban infrastructure with priority 4,Intent,POST,ReportingExpectation,/intent,Active,81080,NetworkSliceProvisionv2,2.5,4,Broadband services,True,BroadbandService,1080pHD,50 ms,100 Mbps,99.9%,50,5
639,Retrieve intent 46137 information,retrieve intent 46137 information,Intent,GET,DeliveryExpectation,/intent,Active,46137,MissionCriticalDeployment001,3.2,1,5G networks,True,VoiceService,1080pHD,100 ms,100 Mbps,99.95%,50,5
640,Submit intent for deploy connected logistics for supply chain management,submit intent for deploy connected logistics for supply chain management,IntentSpecification,POST,,/intentspecification,Created,70895,VideoStreamProvisionC,3.8,4,Broadband services,True,IoTService,4KUHD,20 ms,1 Gbps,99.95%,200,5
